==============================================================================
    step     energy [au]  potential [au]  temp [K]  wall clock time           
     283   -202.02684105   -206.53440472    303.21  2022-01-12 Wed 20:11:01.55
     284   -202.02684134   -206.53432177    302.38  2022-01-12 Wed 20:11:12.26
     285   -202.02684047   -206.53420727    301.78  2022-01-12 Wed 20:11:23.08
     286   -202.02683775   -206.53408477    301.68  2022-01-12 Wed 20:11:33.80
     287   -202.02683348   -206.53405454    302.36  2022-01-12 Wed 20:11:44.71
     288   -202.02682913   -206.53421345    303.56  2022-01-12 Wed 20:11:55.45
     289   -202.02682694   -206.53458306    304.67  2022-01-12 Wed 20:12:06.15
     290   -202.02682861   -206.53513359    305.43  2022-01-12 Wed 20:12:16.88
     291   -202.02683450   -206.53584645    306.21  2022-01-12 Wed 20:12:27.74
     292   -202.02684261   -206.53668474    306.98  2022-01-12 Wed 20:12:38.47
     293   -202.02684899   -206.53752739    307.65  2022-01-12 Wed 20:12:49.50
     294   -202.02685125   -206.53816914    307.81  2022-01-12 Wed 20:13:00.50
     295   -202.02684855   -206.53841296    306.48  2022-01-12 Wed 20:13:11.23
     296   -202.02684224   -206.53819820    304.86  2022-01-12 Wed 20:13:22.04
     297   -202.02683339   -206.53761815    303.76  2022-01-12 Wed 20:13:32.82
     298   -202.02682420   -206.53690793    302.77  2022-01-12 Wed 20:13:43.56
     299   -202.02681729   -206.53639096    301.64  2022-01-12 Wed 20:13:54.32
     300   -202.02681480   -206.53631024    300.05  2022-01-12 Wed 20:14:05.14
     301   -202.02681719   -206.53672763    297.95  2022-01-12 Wed 20:14:15.89
     302   -202.02682405   -206.53758971    296.02  2022-01-12 Wed 20:14:27.21
     303   -202.02683464   -206.53881258    294.94  2022-01-12 Wed 20:14:38.44
     304   -202.02684716   -206.54029924    294.88  2022-01-12 Wed 20:14:49.25
     305   -202.02686020   -206.54192985    295.68  2022-01-12 Wed 20:14:59.99
     306   -202.02687223   -206.54355628    297.23  2022-01-12 Wed 20:15:10.82
     307   -202.02688201   -206.54499926    299.36  2022-01-12 Wed 20:15:21.58
     308   -202.02688856   -206.54606121    301.33  2022-01-12 Wed 20:15:32.23
     309   -202.02689136   -206.54656779    302.54  2022-01-12 Wed 20:15:42.90
     310   -202.02689017   -206.54640141    302.80  2022-01-12 Wed 20:15:53.65
     311   -202.02688471   -206.54551306    302.02  2022-01-12 Wed 20:16:04.39
     312   -202.02687522   -206.54394093    300.49  2022-01-12 Wed 20:16:15.13
     313   -202.02686260   -206.54181627    299.09  2022-01-12 Wed 20:16:26.09
     314   -202.02684789   -206.53932240    298.61  2022-01-12 Wed 20:16:36.80
     315   -202.02683262   -206.53664497    299.12  2022-01-12 Wed 20:16:47.46
     316   -202.02681844   -206.53397229    299.82  2022-01-12 Wed 20:16:58.31
     317   -202.02680693   -206.53153173    300.32  2022-01-12 Wed 20:17:09.09
     318   -202.02679981   -206.52956827    301.36  2022-01-12 Wed 20:17:19.74
     319   -202.02679760   -206.52823995    303.58  2022-01-12 Wed 20:17:30.41
     320   -202.02679955   -206.52756308    306.91  2022-01-12 Wed 20:17:41.22
     321   -202.02680489   -206.52743320    310.30  2022-01-12 Wed 20:17:51.97
     322   -202.02681216   -206.52765426    311.91  2022-01-12 Wed 20:18:02.99
     323   -202.02681981   -206.52801313    312.18  2022-01-12 Wed 20:18:13.95
     324   -202.02682554   -206.52833987    313.07  2022-01-12 Wed 20:18:24.73
     325   -202.02682709   -206.52844703    315.05  2022-01-12 Wed 20:18:35.48
     326   -202.02682402   -206.52811991    317.31  2022-01-12 Wed 20:18:46.24
     327   -202.02681799   -206.52727592    318.63  2022-01-12 Wed 20:18:57.02
     328   -202.02681071   -206.52606525    318.13  2022-01-12 Wed 20:19:08.22
     329   -202.02680431   -206.52474247    316.32  2022-01-12 Wed 20:19:18.99
     330   -202.02680013   -206.52347079    313.91  2022-01-12 Wed 20:19:29.76
