====================================================================
   i   j      r [au]   pdf: d(r)   rdf: g(r)   cn: n1(r)   cn: n2(r)
   1   1      4.4400      0.0803      0.7828      5.4137      5.4137
   1   1      4.4500      0.0790      0.7666      5.4422      5.4422
   1   1      4.4600      0.0785      0.7575      5.4704      5.4704
   1   1      4.4700      0.0770      0.7400      5.4982      5.4982
   1   1      4.4800      0.0764      0.7311      5.5257      5.5257
   1   1      4.4900      0.0747      0.7116      5.5525      5.5525
   1   1      4.5000      0.0731      0.6931      5.5789      5.5789
   1   1      4.5100      0.0734      0.6935      5.6053      5.6053
   1   1      4.5200      0.0715      0.6719      5.6310      5.6310
   1   1      4.5300      0.0682      0.6379      5.6556      5.6556
   1   1      4.5400      0.0665      0.6194      5.6795      5.6795
   1   1      4.5500      0.0657      0.6094      5.7031      5.7031
   1   1      4.5600      0.0643      0.5939      5.7263      5.7263
   1   1      4.5700      0.0629      0.5785      5.7489      5.7489
   1   1      4.5800      0.0629      0.5755      5.7716      5.7716
   1   1      4.5900      0.0622      0.5673      5.7940      5.7940
   1   1      4.6000      0.0601      0.5457      5.8156      5.8156
   1   1      4.6100      0.0608      0.5491      5.8375      5.8375
   1   1      4.6200      0.0599      0.5385      5.8590      5.8590
   1   1      4.6300      0.0577      0.5171      5.8798      5.8798
   1   1      4.6400      0.0581      0.5182      5.9007      5.9007
   1   1      4.6500      0.0559      0.4968      5.9209      5.9209
   1   1      4.6600      0.0562      0.4970      5.9411      5.9411
   1   1      4.6700      0.0584      0.5144      5.9621      5.9621
   1   1      4.6800      0.0571      0.5004      5.9827      5.9827
   1   1      4.6900      0.0557      0.4865      6.0027      6.0027
   1   1      4.7000      0.0557      0.4839      6.0228      6.0228
   1   1      4.7100      0.0524      0.4537      6.0416      6.0416
   1   1      4.7200      0.0538      0.4640      6.0610      6.0610
   1   1      4.7300      0.0540      0.4640      6.0804      6.0804
   1   1      4.7400      0.0584      0.4993      6.1015      6.1015
   1   1      4.7500      0.0584      0.4968      6.1225      6.1225
   1   1      4.7600      0.0571      0.4844      6.1431      6.1431
   1   1      4.7700      0.0581      0.4905      6.1640      6.1640
   1   1      4.7800      0.0614      0.5158      6.1861      6.1861
   1   1      4.7900      0.0624      0.5223      6.2085      6.2085
   1   1      4.8000      0.0639      0.5329      6.2315      6.2315
   1   1      4.8100      0.0635      0.5271      6.2544      6.2544
   1   1      4.8200      0.0684      0.5653      6.2790      6.2790
   1   1      4.8300      0.0705      0.5800      6.3044      6.3044
   1   1      4.8400      0.0702      0.5756      6.3297      6.3297
   1   1      4.8500      0.0733      0.5987      6.3561      6.3561
   1   1      4.8600      0.0764      0.6212      6.3836      6.3836
   1   1      4.8700      0.0779      0.6306      6.4116      6.4116
   1   1      4.8800      0.0764      0.6161      6.4391      6.4391
   1   1      4.8900      0.0807      0.6483      6.4682      6.4682
   1   1      4.9000      0.0835      0.6679      6.4982      6.4982
   1   1      4.9100      0.0825      0.6573      6.5279      6.5279
   1   1      4.9200      0.0822      0.6525      6.5575      6.5575
   1   1      4.9300      0.0848      0.6699      6.5880      6.5880
   1   1      4.9400      0.0861      0.6779      6.6191      6.6191
   1   1      4.9500      0.0878      0.6882      6.6507      6.6507
   1   1      4.9600      0.0884      0.6902      6.6825      6.6825
   1   1      4.9700      0.0919      0.7149      6.7156      6.7156
   1   1      4.9800      0.0936      0.7246      6.7493      6.7493
   1   1      4.9900      0.0895      0.6904      6.7815      6.7815
   1   1      5.0000      0.0978      0.7514      6.8167      6.8167
   1   1      5.0100      0.0993      0.7602      6.8525      6.8525
   1   1      5.0200      0.0985      0.7506      6.8879      6.8879
   1   1      5.0300      0.0997      0.7570      6.9238      6.9238
   1   1      5.0400      0.1005      0.7602      6.9600      6.9600
   1   1      5.0500      0.0995      0.7493      6.9958      6.9958
   1   1      5.0600      0.1000      0.7500      7.0318      7.0318
   1   1      5.0700      0.1014      0.7579      7.0684      7.0684
   1   1      5.0800      0.1026      0.7639      7.1053      7.1053
   1   1      5.0900      0.1023      0.7581      7.1421      7.1421
   1   1      5.1000      0.1026      0.7580      7.1791      7.1791
   1   1      5.1100      0.0985      0.7245      7.2145      7.2145
   1   1      5.1200      0.0985      0.7219      7.2500      7.2500
   1   1      5.1300      0.0968      0.7061      7.2848      7.2848
   1   1      5.1400      0.0944      0.6865      7.3188      7.3188
   1   1      5.1500      0.0908      0.6578      7.3515      7.3515
   1   1      5.1600      0.0886      0.6392      7.3834      7.3834
   1   1      5.1700      0.0861      0.6186      7.4144      7.4144
   1   1      5.1800      0.0883      0.6320      7.4462      7.4462
   1   1      5.1900      0.0875      0.6240      7.4777      7.4777
   1   1      5.2000      0.0866      0.6154      7.5089      7.5089
   1   1      5.2100      0.0874      0.6187      7.5404      7.5404
   1   1      5.2200      0.0815      0.5745      7.5697      7.5697
   1   1      5.2300      0.0801      0.5623      7.5986      7.5986
   1   1      5.2400      0.0797      0.5573      7.6273      7.6273
   1   1      5.2500      0.0785      0.5467      7.6555      7.6555
   1   1      5.2600      0.0766      0.5316      7.6831      7.6831
   1   1      5.2700      0.0730      0.5051      7.7094      7.7094
   1   1      5.2800      0.0731      0.5039      7.7357      7.7357
   1   1      5.2900      0.0696      0.4776      7.7607      7.7607
   1   1      5.3000      0.0645      0.4408      7.7840      7.7840
   1   1      5.3100      0.0647      0.4409      7.8073      7.8073
   1   1      5.3200      0.0648      0.4398      7.8306      7.8306
   1   1      5.3300      0.0622      0.4204      7.8530      7.8530
   1   1      5.3400      0.0579      0.3901      7.8738      7.8738
   1   1      5.3500      0.0577      0.3870      7.8946      7.8946
   1   1      5.3600      0.0555      0.3712      7.9146      7.9146
   1   1      5.3700      0.0552      0.3676      7.9345      7.9345
   1   1      5.3800      0.0538      0.3570      7.9538      7.9538
   1   1      5.3900      0.0562      0.3713      7.9740      7.9740
   1   1      5.4000      0.0549      0.3618      7.9938      7.9938
   1   1      5.4100      0.0543      0.3562      8.0134      8.0134
   1   1      5.4200      0.0558      0.3646      8.0334      8.0334
   1   1      5.4300      0.0541      0.3526      8.0529      8.0529
   1   1      5.4400      0.0532      0.3454      8.0721      8.0721
   1   1      5.4500      0.0559      0.3615      8.0922      8.0922
   1   1      5.4600      0.0558      0.3597      8.1123      8.1123
   1   1      5.4700      0.0563      0.3614      8.1326      8.1326
   1   1      5.4800      0.0585      0.3738      8.1536      8.1536
   1   1      5.4900      0.0626      0.3992      8.1762      8.1762
   1   1      5.5000      0.0658      0.4175      8.1999      8.1999
   1   1      5.5100      0.0657      0.4158      8.2235      8.2235
   1   1      5.5200      0.0683      0.4306      8.2481      8.2481
   1   1      5.5300      0.0706      0.4434      8.2735      8.2735
   1   1      5.5400      0.0694      0.4344      8.2985      8.2985
   1   1      5.5500      0.0705      0.4393      8.3239      8.3239
   1   1      5.5600      0.0706      0.4386      8.3493      8.3493
