====================================================================
   i   j      r [au]   pdf: d(r)   rdf: g(r)   cn: n1(r)   cn: n2(r)
   1   1      5.0000      0.0887      0.6816      6.8017      6.8017
   1   1      5.0100      0.0964      0.7376      6.8365      6.8365
   1   1      5.0200      0.0963      0.7341      6.8711      6.8711
   1   1      5.0300      0.0962      0.7303      6.9058      6.9058
   1   1      5.0400      0.1001      0.7572      6.9418      6.9418
   1   1      5.0500      0.1005      0.7568      6.9780      6.9780
   1   1      5.0600      0.0982      0.7368      7.0133      7.0133
   1   1      5.0700      0.1070      0.7997      7.0519      7.0519
   1   1      5.0800      0.1006      0.7489      7.0881      7.0881
   1   1      5.0900      0.1039      0.7702      7.1255      7.1255
   1   1      5.1000      0.1001      0.7392      7.1616      7.1616
   1   1      5.1100      0.1015      0.7466      7.1981      7.1981
   1   1      5.1200      0.0962      0.7050      7.2327      7.2327
   1   1      5.1300      0.0929      0.6778      7.2662      7.2662
   1   1      5.1400      0.0886      0.6438      7.2981      7.2981
   1   1      5.1500      0.0900      0.6515      7.3304      7.3304
   1   1      5.1600      0.0830      0.5988      7.3603      7.3603
   1   1      5.1700      0.0853      0.6128      7.3910      7.3910
   1   1      5.1800      0.0827      0.5923      7.4208      7.4208
   1   1      5.1900      0.0832      0.5935      7.4508      7.4508
   1   1      5.2000      0.0799      0.5675      7.4795      7.4795
   1   1      5.2100      0.0797      0.5642      7.5083      7.5083
   1   1      5.2200      0.0790      0.5565      7.5367      7.5367
   1   1      5.2300      0.0791      0.5553      7.5651      7.5651
   1   1      5.2400      0.0731      0.5112      7.5915      7.5915
   1   1      5.2500      0.0724      0.5042      7.6175      7.6175
   1   1      5.2600      0.0686      0.4761      7.6422      7.6422
   1   1      5.2700      0.0730      0.5047      7.6685      7.6685
   1   1      5.2800      0.0744      0.5129      7.6953      7.6953
   1   1      5.2900      0.0740      0.5080      7.7219      7.7219
   1   1      5.3000      0.0709      0.4846      7.7474      7.7474
   1   1      5.3100      0.0672      0.4579      7.7716      7.7716
   1   1      5.3200      0.0637      0.4319      7.7945      7.7945
   1   1      5.3300      0.0623      0.4210      7.8170      7.8170
   1   1      5.3400      0.0585      0.3938      7.8380      7.8380
   1   1      5.3500      0.0561      0.3762      7.8582      7.8582
   1   1      5.3600      0.0549      0.3667      7.8779      7.8779
   1   1      5.3700      0.0535      0.3565      7.8972      7.8972
   1   1      5.3800      0.0554      0.3677      7.9172      7.9172
   1   1      5.3900      0.0550      0.3637      7.9370      7.9370
   1   1      5.4000      0.0544      0.3585      7.9566      7.9566
   1   1      5.4100      0.0557      0.3655      7.9766      7.9766
   1   1      5.4200      0.0574      0.3756      7.9973      7.9973
