 --- primitive lattice vectors ---
    30   0.2439738570 -0.2287532036 -0.0110697686
    31   0.0059031303 -0.0609617980 -0.0002001818
    32   0.0031936740  0.0609863875 -0.0027320780
    33  -0.0011394862 -0.0495407388  0.0146936339
    34  -0.0011542195 -0.0498825280 -0.0094055937
    35  -0.0000836288 -0.0147228533  0.0036591846
    36  -0.0008079642 -0.0147601282 -0.0043959852
    37  -0.0007494259 -0.0146348988  0.0053933767
    38  -0.0000832775 -0.0146989238 -0.0027277246
 n=    25 A   IR&R
     hbarW=  0.77429004E-03 Ha =  0.21069504E-01 eV; nu=  0.16993703E+03 cm^-1
    25  -0.5273880227  0.0231203615  0.0009341971
    26  -0.4537389175  0.0248142253 -0.0017523235
    27   0.2765304484  0.1759621204 -0.0036476514
    28   0.3050253773 -0.1933649332 -0.0036679569
    29   0.2817968276  0.1803099634  0.0038993967
    30   0.3099572766 -0.2007370404  0.0042483557
    31  -0.1455829866 -0.0079916589 -0.0003372039
    32  -0.0698808443  0.0004977879 -0.0027120917
    33   0.0224479938 -0.0023242103  0.0055157056
    34   0.0224451743 -0.0027784691  0.0036171374
    35   0.0085713012 -0.0010396247  0.0178577518
    36   0.0085195438 -0.0004677819  0.0170187547
    37   0.0088498891 -0.0004333645 -0.0151893587
    38   0.0088928074 -0.0010364437 -0.0160454216
 n=    26 A   IR&R
     hbarW=  0.79468156E-03 Ha =  0.21624385E-01 eV; nu=  0.17441245E+03 cm^-1
    25   0.1031915998 -0.0006041140 -0.0001692293
    26   0.1137886481 -0.0001576421  0.0007862811
    27   0.1813446820 -0.2934266824  0.0203887754
    28   0.1781601937  0.2899687421  0.0217358200
    29   0.1820378346 -0.2929459135 -0.0214798703
    30   0.1772198090  0.2906926799 -0.0198437533
    31  -0.6581159802  0.0052261874 -0.0022103378
    32  -0.2632951657  0.0017791167  0.0017037999
    33  -0.0196697513 -0.0000287420 -0.0008716560
    34  -0.0191198484  0.0003896210 -0.0003990866
    35  -0.0033753188  0.0000167438  0.0207137585
    36  -0.0030788297  0.0002866528  0.0209703622
    37  -0.0030337224  0.0000258773 -0.0207071826
    38  -0.0027289315 -0.0001830592 -0.0204705379
 n=    27 A   IR&R
     hbarW=  0.79682724E-03 Ha =  0.21682772E-01 eV; nu=  0.17488337E+03 cm^-1
    25  -0.0053488103  0.0219356336  0.0003833951
    26  -0.0034883365  0.0253005232  0.0004515269
    27   0.2328519567 -0.2544840101  0.0251615047
    28  -0.2302556077 -0.2601508495 -0.0264672108
    29   0.2300089853 -0.2500162366 -0.0249754233
    30  -0.2287331411 -0.2589417439  0.0245620998
    31   0.0036541319  0.6584123064  0.0002141487
    32   0.0013211079  0.2826943598  0.0020429330
    33   0.0002858565  0.0283180848 -0.0473929718
    34   0.0002336142  0.0285277423  0.0426682460
    35  -0.0001953441  0.0065017409 -0.0255583553
    36   0.0003676202  0.0065015487  0.0247358669
    37   0.0003766408  0.0061818972 -0.0256595297
    38  -0.0002603571  0.0061852134  0.0246388860
 n=    28 A   IR&R
     hbarW=  0.86392804E-03 Ha =  0.23508678E-01 eV; nu=  0.18961029E+03 cm^-1
    25  -0.0051575762  0.0025618402  0.0460830759
    26  -0.0013038054  0.0013989009  0.0453268461
    27   0.0109567590 -0.0037603757  0.0185793785
    28   0.0130061119  0.0055757666  0.0167689789
    29  -0.0102600079  0.0061543747  0.0192518282
    30  -0.0049203154 -0.0081114264  0.0167654615
    31   0.0024897315 -0.0048319744  0.0215569439
    32  -0.0034045562  0.0045982105  0.4193112872
    33   0.0047016000 -0.0375520774 -0.6107749031
