 --- primitive lattice vectors ---
    23  -0.0086281901  0.0897791196 -0.3373026172
    24  -0.0042870091 -0.0900130889 -0.3533393100
    25   0.0015512959 -0.0044769297 -0.0074632996
    26   0.0019109069 -0.0047072920 -0.1155458273
    27   0.1267972465 -0.0632989291 -0.0777466606
    28   0.1260287124  0.0604463471 -0.0759603229
    29  -0.1245715998  0.0688438758 -0.0789334114
    30  -0.1224334869 -0.0719362179 -0.0824185711
    31  -0.0057863665  0.0020448571  0.0723728619
    32   0.0119718148  0.0011991356  0.4925530728
    33   0.0025418454  0.0065269412  0.2377626454
    34   0.0036754831  0.0004972984  0.2395760918
    35   0.0005413937  0.0013580499  0.0607116867
    36   0.0011205110  0.0011220262  0.0612942992
    37   0.0006203405  0.0009936326  0.0630544986
    38   0.0012067956  0.0006201428  0.0636114003
 n=    18 A   IR&R
     hbarW=  0.46342028E-03 Ha =  0.12610307E-01 eV; nu=  0.10170900E+03 cm^-1
    17  -0.1288268456  0.0003373821 -0.2059920346
    18   0.1293354093  0.0041023201 -0.2019879525
    19   0.0041726161  0.0843531471  0.2376937976
    20  -0.0000476246 -0.0904057588  0.2291346519
    21   0.1000141178  0.0027340271 -0.3280292186
    22  -0.0890270631  0.0045415106 -0.3393207102
    23   0.0012094347  0.0097269591  0.1815961653
    24   0.0014784906  0.0005939451  0.1808139136
    25  -0.0042348813 -0.0018126910 -0.1868083263
    26  -0.0003165275 -0.0080096329 -0.0607531748
    27   0.0551193976 -0.1148711744 -0.0541744008
    28   0.0619132896  0.1057330938 -0.0522253255
    29  -0.0690476667  0.1127515042 -0.0592692163
    30  -0.0636686155 -0.1182653999 -0.0577222820
    31  -0.0053703664 -0.0042260599  0.0158226625
    32  -0.0035503923 -0.0044858024  0.5254592007
    33  -0.0050841576 -0.0031796962  0.1553671953
    34  -0.0035107328  0.0042630850  0.1562314958
    35  -0.0016906741  0.0002621958  0.0471557808
    36  -0.0008755053  0.0006817612  0.0473857174
    37  -0.0020767918 -0.0003174131  0.0507809005
    38  -0.0012410623  0.0000277923  0.0509457156
 n=    19 A   IR&R
     hbarW=  0.50506994E-03 Ha =  0.13743652E-01 eV; nu=  0.11085004E+03 cm^-1
    17  -0.2273235067 -0.0010596130  0.2123353581
    18   0.2242824335 -0.0091110948  0.2136061718
    19  -0.0024548929  0.2155497955 -0.2115373117
    20  -0.0075946459 -0.2212463154 -0.2213126314
    21  -0.1664548887 -0.0075892431 -0.0560076677
    22   0.1641126371 -0.0041263399 -0.0631903556
    23  -0.0024960796  0.1468893504  0.0461559552
    24   0.0029073359 -0.1627699899  0.0523851873
    25   0.0072851071  0.0068831035 -0.3926300632
    26  -0.0050119530  0.0095780137  0.4102900307
    27  -0.1467794989 -0.1426045830 -0.0052577067
    28  -0.1521064698  0.1521941085  0.0142386549
    29   0.1515646911  0.1556719719  0.0054732067
    30   0.1483800867 -0.1456233123  0.0212745714
    31  -0.0056975466 -0.0023290749  0.0021475627
    32   0.0123774363  0.0100719091 -0.0274055374
    33   0.0017278806  0.0033339882  0.0067539697
    34  -0.0008822216 -0.0001663999  0.0078557437
    35   0.0004281521  0.0002876968 -0.0018708259
    36  -0.0009254197 -0.0004161380 -0.0014761228
    37   0.0010719884  0.0012269900 -0.0009740023
    38  -0.0003120349  0.0006321895 -0.0001678887
 n=    20 A   IR&R
     hbarW=  0.50821371E-03 Ha =  0.13829198E-01 eV; nu=  0.11154002E+03 cm^-1
    17  -0.0095890260 -0.1474033221 -0.0025770147
    18   0.0187951645  0.2217776769  0.0032416877
    19  -0.1678175475  0.0301580304 -0.0060187088
    20   0.1774871247  0.0383973119 -0.0146481737
    21   0.0052316971  0.1394465498  0.0062151172
    22   0.0118478834 -0.0836892885 -0.0006164375
    23   0.0936391654  0.0403699534  0.0047891079
    24  -0.0819631923  0.0338585555  0.0069436383
    25  -0.0097509482 -0.0264469636 -0.0213632500
    26  -0.0033460673 -0.0474847789 -0.0028947948
    27  -0.0274178147 -0.0223606629  0.4371555693
    28  -0.0016005861 -0.0245741468 -0.4402795027
    29  -0.0177308774 -0.0396618562  0.4548796662
    30   0.0265793198 -0.0324994084 -0.4564935600
    31   0.0004932659  0.0041933789  0.0336287650
    32  -0.0142749175 -0.0777861016  0.0000346539
    33  -0.0347532275 -0.0078264992  0.0063394989
    34   0.0338309582 -0.0082967526 -0.0046995229
    35  -0.0179016188  0.0108248912 -0.0016826561
    36   0.0178510423  0.0108381273  0.0021962615
    37  -0.0180794118 -0.0147367998  0.0075462772
